enst	hgnc	ensg	mis_n_pos	mis_prop_exp	mis_n_exp	mis_prop_obs	mis_n_obs	mis_oe	mis_oe_diff	mis_z	mis_p	non_n_pos	non_prop_exp	non_n_exp	non_prop_obs	non_n_obs	non_oe	non_oe_diff	non_z	non_p	syn_n_pos	syn_prop_exp	syn_n_exp	syn_prop_obs	syn_n_obs	syn_oe	syn_oe_diff	syn_z	syn_p	pli	loeuf
ENST00000326448	IFT80	ENSG00000068885	5086	0.0953291208300375	484.84	0.0762878489972473	388.0	0.8002640046200808	-0.1150732349309666	-4.624087374031891	1.881256275695199e-06	370	0.0895821802023131	33.15	0.027027027027027	10.0	0.301659125188537	-0.3735103828338425	-4.213400719959279	1.2577709315723496e-05	1479	0.1139506593518724	168.53	0.1108857336037863	164.0	0.9731205126683676	0.1152337511076784	-0.3709511057711567	0.3553369747354661	1.4059000000000002e-19	0.991
ENST00000354464	IPO4	ENSG00000196497	6795	0.1010860217723942	686.88	0.0903605592347314	614.0	0.8938970416957839	-0.0351995887462304	-2.9329600081977065	0.0016787356819001	326	0.0944830319391943	30.8	0.0276073619631901	9.0	0.2922077922077922	-0.3717369638089436	-4.128114540779413	1.828749623071781e-05	2368	0.1296897422747017	307.11	0.1456925675675675	345.0	1.1233759890592947	0.2277137420431134	2.3179157594121453	0.98977305010709	1.0269e-18	0.852
ENST00000399132	COL25A1	ENSG00000188517	4061	0.108138872530357	439.15	0.0866781580891406	352.0	0.801548445861323	-0.1101254052282753	-4.403734568215812	5.320155906111658e-06	249	0.0830719834748752	20.68	0.0240963855421686	6.0	0.2901353965183752	-0.297208047931971	-3.37191885574914	0.0003732321880478	1480	0.107495835513578	159.09	0.1148648648648648	170.0	1.0685775347287698	0.2153776981795432	0.9152509716686608	0.8199700543499668	1.6393e-18	0.877
ENST00000316519	AACS	ENSG00000081760	4342	0.100471036193327	436.25	0.0978811607554122	425.0	0.9742120343839542	0.0632120979133785	-0.5676697732126421	0.2851296099294218	237	0.0975531013605891	23.12	0.0337552742616033	8.0	0.3460207612456747	-0.2667535098110469	-3.3101577523839665	0.0004662170195758	1296	0.130941266679533	169.7	0.1396604938271605	181.0	1.0665880966411314	0.2068474671583169	0.9305027468593424	0.8239445787093793	9.1275e-17	1.088
ENST00000371447	PDE6C	ENSG00000095464	5687	0.0953947876931634	542.51	0.078424476877088	446.0	0.8221046616652228	-0.0978614905605508	-4.356518322769826	6.607381785581466e-06	361	0.0872991135446472	31.51	0.0304709141274238	11.0	0.3490955252300857	-0.3173599551015956	-3.8251488845641632	6.534653968318248e-05	1584	0.1252809628402833	198.45	0.1287878787878787	204.0	1.0279667422524563	0.1580921940526256	0.4216247679196832	0.6633505375178432	2.323e-16	0.866
ENST00000261637	UTP20	ENSG00000120800	18261	0.0942538418732926	1721.17	0.083730354306993	1529.0	0.8883492043203169	-0.066689426056998	-4.86708789740419	5.66273332930335e-07	1181	0.0800734160876405	94.57	0.025402201524132	30.0	0.317225335730147	-0.4894641178395083	-6.922499100870662	2.218723067356251e-12	5360	0.1188220652506174	636.89	0.117910447761194	632.0	0.9923220650347784	0.0652256617195384	-0.20625984559027	0.4182939713367888	3.0008e-15	0.463
ENST00000371568	ORC1	ENSG00000085840	5490	0.0986324135226218	541.49	0.0936247723132969	514.0	0.9492326728102088	0.0291982464266375	-1.24439591975177	0.1066769419395821	318	0.0880312582926858	27.99	0.0251572327044025	8.0	0.285816362986781	-0.3604258139732786	-3.957094266850397	3.793349858854129e-05	1792	0.1214375243889978	217.62	0.1244419642857142	223.0	1.024721992463928	0.1492562858341901	0.3893765075561225	0.651501176104161	1.7297e-14	0.881
ENST00000252034	ELN	ENSG00000049540	4244	0.1152339563407885	489.05	0.1032045240339302	438.0	0.8956139454043553	-0.0210209325590224	-2.4543040301489	0.0070578790109598	167	0.0813369219539797	13.58	0.0119760479041916	2.0	0.1472754050073637	-0.3430134615911681	-3.279070810113811	0.000520747495559	1922	0.1001868577983983	192.56	0.1004162330905307	193.0	1.002285002077275	0.1362656850817267	0.0334920539777794	0.513358898857041	2.1429e-14	0.871
ENST00000368099	CFAP45	ENSG00000213085	3581	0.095043251087041	340.35	0.0966210555710695	346.0	1.0166005582488613	0.1176651905726514	0.3219443390978323	0.6262525689127789	238	0.0942958785945354	22.44	0.0252100840336134	6.0	0.267379679144385	-0.3388831387547889	-3.647016327652368	0.0001326515359293	1021	0.1331717617063834	135.97	0.1361410381978452	139.0	1.0222843274251674	0.1787776000927757	0.279248541226015	0.6099729529401852	5.5417e-14	0.998
ENST00000374736	ABCA1	ENSG00000165029	14769	0.0973905578459856	1438.36	0.0835533888550341	1234.0	0.857921521733085	-0.0929804495899307	-5.671715360171886	7.068736618424141e-09	780	0.0952266891558478	74.28	0.0294871794871794	23.0	0.3096392030156166	-0.4740434550503815	-6.25495988406503	1.9880905192214088e-10	4532	0.1259106272906278	570.63	0.1233451015004413	559.0	0.979619017577064	0.056328643809541	-0.5206096591689879	0.3013193595784298	1.4525e-13	0.486
